City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Okhotsk,RU,59.38,143.3,49.12,80,98,5.61,overcast clouds
203,Parintins,BR,-2.63,-56.74,94.17,41,100,1.12,overcast clouds
204,Bahia Blanca,AR,-38.72,-62.27,64.9,46,92,10.89,overcast clouds
205,Marzuq,YE,14.4,46.47,86.0,37,43,6.78,scattered clouds
206,Dukat,RU,62.55,155.55,36.91,90,100,5.91,overcast clouds
207,Koster,ZA,-25.86,26.9,60.49,39,90,6.15,overcast clouds
208,Sal Rei,CV,16.18,-22.92,84.2,70,20,12.75,few clouds
209,Pervomaysk,UA,48.04,30.85,63.19,60,0,5.35,clear sky
210,Vila,PT,42.03,-8.16,62.01,70,61,3.0,broken clouds
211,Bathsheba,BB,13.22,-59.52,87.8,66,40,19.46,shower rain
212,Mangit,UZ,40.6,70.96,68.0,64,0,6.93,clear sky
213,Honiara,SB,-9.43,159.95,75.2,94,75,2.24,broken clouds
214,Dwarka,IN,22.24,68.97,82.08,84,100,14.5,overcast clouds
215,Fairbanks,US,64.84,-147.72,51.01,93,90,1.54,light rain
216,Ubinskoye,RU,55.31,79.68,54.55,91,42,5.3,scattered clouds
217,Mount Isa,AU,-20.73,139.5,66.2,39,0,8.05,clear sky
218,Druzhba,UA,52.04,33.95,57.33,95,61,5.75,broken clouds
219,Ekhabi,RU,53.51,142.97,46.06,94,0,6.51,clear sky
220,Port Hawkesbury,CA,45.62,-61.35,68.0,52,1,18.34,clear sky
221,Ljubuski,BA,43.2,17.55,80.6,54,0,4.7,clear sky
222,Kaeo,NZ,-35.1,173.78,52.56,85,0,6.2,clear sky
223,Sawakin,SD,19.11,37.33,90.37,52,4,5.08,clear sky
224,Sorland,NO,67.67,12.69,46.4,87,75,2.24,shower rain
225,Carnarvon,AU,-24.87,113.63,64.4,93,28,12.75,scattered clouds
226,Narsaq,GL,60.92,-46.05,60.8,36,75,25.28,broken clouds
227,Krasnovishersk,RU,60.41,57.08,56.1,83,80,4.25,broken clouds
228,Mar Del Plata,AR,-38.0,-57.56,62.6,55,0,8.05,clear sky
229,Faanui,PF,-16.48,-151.75,76.51,80,10,21.85,clear sky
230,Halmstad,SE,56.67,12.86,59.0,87,75,9.17,broken clouds
231,Bandarbeyla,SO,9.49,50.81,75.97,80,27,31.32,scattered clouds
232,Uppsala,SE,60.0,17.75,55.4,87,80,5.82,light intensity shower rain
233,Saint-Francois,FR,46.42,3.91,64.4,72,23,8.05,light rain
234,Ribeira Grande,PT,38.52,-28.7,77.0,88,75,12.75,broken clouds
235,Jamestown,US,42.1,-79.24,77.0,78,90,8.05,overcast clouds
236,Azul,AR,-36.78,-59.86,64.99,68,99,1.01,overcast clouds
237,Chernyshevskiy,RU,63.01,112.47,50.61,56,100,6.8,overcast clouds
238,Plouzane,FR,48.38,-4.62,59.0,87,0,9.17,clear sky
239,Najran,SA,17.49,44.13,91.4,19,40,4.7,scattered clouds
240,Svetlogorsk,BY,52.63,29.73,57.96,88,81,3.29,broken clouds
241,Novyy Buh,UA,47.69,32.52,64.4,48,0,4.47,clear sky
242,Takanosu,JP,40.22,140.37,74.21,89,24,0.94,few clouds
243,Rantauprapat,ID,2.1,99.83,75.13,85,97,1.79,overcast clouds
244,Tambura,SS,5.6,27.47,71.17,94,86,2.08,light rain
245,Kahului,US,20.89,-156.47,82.4,58,20,20.8,few clouds
246,Carutapera,BR,-1.2,-46.02,83.97,70,100,9.91,light rain
247,Cantagallo,CO,7.38,-73.92,89.6,59,40,3.36,scattered clouds
248,San Cristobal,VE,7.77,-72.22,91.4,52,20,13.87,few clouds
249,Ilulissat,GL,69.22,-51.1,46.4,45,20,11.41,few clouds
250,Vanimo,PG,-2.67,141.3,79.05,83,100,5.7,moderate rain
251,Deputatskiy,RU,69.3,139.9,31.5,99,80,1.88,broken clouds
252,Havoysund,NO,71.0,24.66,46.4,75,75,14.99,broken clouds
253,Senanga,ZM,-16.12,23.27,74.97,36,0,4.56,clear sky
254,Shu,KZ,43.6,73.76,73.99,43,0,1.99,clear sky
255,Athabasca,CA,54.72,-113.29,64.54,59,100,5.14,overcast clouds
256,Piacabucu,BR,-10.41,-36.43,77.56,75,100,10.56,overcast clouds
257,College,US,64.86,-147.8,52.0,93,90,3.36,light rain
258,Bay Roberts,CA,47.6,-53.26,66.0,60,50,18.37,scattered clouds
259,Barstow,US,34.9,-117.02,93.2,13,1,3.36,clear sky
260,Hobyo,SO,5.35,48.53,77.14,82,100,25.75,overcast clouds
261,Kendari,ID,-3.94,122.5,72.12,89,22,1.97,few clouds
262,Ponta Do Sol,PT,32.67,-17.1,73.0,71,0,6.04,clear sky
263,Durant,US,33.99,-96.37,98.6,39,1,12.75,clear sky
264,Longyearbyen,SJ,78.22,15.64,33.8,93,90,8.05,overcast clouds
265,Manama,BH,26.22,50.58,95.0,63,100,6.93,overcast clouds
266,Huarmey,PE,-10.07,-78.15,69.22,64,4,12.37,clear sky
267,Husavik,IS,66.04,-17.34,53.6,71,75,9.17,broken clouds
268,Lavrentiya,RU,65.58,-171.0,48.65,78,91,3.27,overcast clouds
269,Acajutla,SV,13.59,-89.83,80.01,83,40,3.36,scattered clouds
270,Victor Harbor,AU,-35.57,138.62,57.0,58,0,8.32,clear sky
271,Lensk,RU,60.73,114.93,55.85,68,100,2.37,overcast clouds
272,Uvalde,US,29.37,-99.77,100.99,39,1,8.05,clear sky
273,Drayton Valley,CA,53.22,-114.99,64.99,59,69,11.01,broken clouds
274,Bonavista,CA,48.65,-53.11,62.01,69,38,17.0,scattered clouds
275,Beloha,MG,-25.17,45.05,76.78,48,26,5.93,scattered clouds
276,Talnakh,RU,69.49,88.4,55.4,71,97,4.47,overcast clouds
277,Salta,AR,-24.79,-65.41,86.0,20,53,12.75,broken clouds
278,Shitanjing,CN,39.23,106.34,70.52,29,100,4.56,overcast clouds
279,Calama,CL,-22.47,-68.93,69.8,19,0,14.99,clear sky
280,Olafsvik,IS,64.89,-23.71,51.89,84,100,15.21,light rain
281,Tierranueva,MX,21.68,-100.57,79.16,45,78,7.43,broken clouds
282,Phulabani,IN,20.47,84.23,72.63,88,97,5.06,overcast clouds
283,Boguchany,RU,58.38,97.45,52.38,91,19,1.97,few clouds
284,Parabel,RU,58.7,81.48,53.4,92,99,5.28,overcast clouds
285,Victoria,HK,22.29,114.16,84.0,74,96,3.0,overcast clouds
286,Upernavik,GL,72.79,-56.15,41.27,67,0,14.25,clear sky
287,Chernyy Yar,RU,48.06,46.11,70.9,65,100,5.84,overcast clouds
288,Andenes,NO,69.31,16.12,48.2,76,75,5.82,broken clouds
289,Cabo San Lucas,MX,22.89,-109.91,82.4,69,90,11.41,overcast clouds
290,Esna,EG,25.29,32.55,87.8,31,0,5.82,clear sky
291,Caravelas,BR,-17.71,-39.25,76.32,63,0,5.91,clear sky
292,Shahrud,IR,36.42,54.98,63.93,36,0,6.04,clear sky
293,Geraldton,AU,-28.77,114.6,60.8,72,90,14.99,overcast clouds
294,Kennett,US,36.24,-90.06,75.2,100,90,13.87,overcast clouds
295,Liwale,TZ,-9.77,37.93,71.19,65,1,5.12,clear sky
296,Tshikapa,CD,-6.42,20.8,80.33,55,2,2.01,clear sky
297,Kwinana,AU,-32.25,115.77,57.99,62,40,19.46,scattered clouds
298,Poya,NC,-21.35,165.15,66.92,89,100,6.93,light rain
299,Araouane,ML,18.9,-3.53,104.49,15,0,6.89,clear sky
300,Port Moresby,PG,-9.44,147.18,75.2,100,40,11.41,scattered clouds
301,Omboue,GA,-1.57,9.26,75.27,83,100,10.31,overcast clouds
302,Kulhudhuffushi,MV,6.62,73.07,82.71,75,3,10.22,light rain
303,Dingli,MT,35.86,14.38,80.01,83,0,3.36,clear sky
304,Odienne,CI,9.51,-7.57,73.78,92,100,3.65,moderate rain
305,Buin,CL,-33.73,-70.75,53.6,66,75,2.24,broken clouds
306,Fukue,JP,32.69,128.84,81.66,87,0,14.65,light rain
307,Zemetchino,RU,53.5,42.62,61.54,86,100,3.74,light rain
308,Thompson,CA,55.74,-97.86,57.2,82,75,6.58,broken clouds
309,Lindas,NO,60.74,5.16,59.0,72,0,6.42,clear sky
310,Sandur,IN,15.1,76.55,73.2,81,100,13.06,overcast clouds
311,Hovd,MN,48.01,91.64,52.23,67,100,2.44,overcast clouds
312,Kavieng,PG,-2.57,150.8,81.03,82,93,12.88,light rain
313,Taitung,TW,22.76,121.14,81.16,72,100,2.91,overcast clouds
314,Grand Gaube,MU,-20.01,57.66,71.01,74,0,3.0,clear sky
315,Lola,GN,7.8,-8.53,71.1,95,100,4.72,moderate rain
316,Akyab,MM,20.15,92.9,81.37,85,94,3.22,light rain
317,Coquimbo,CL,-29.95,-71.34,57.2,67,0,12.75,clear sky
318,Noumea,NC,-22.28,166.46,71.01,93,90,3.36,overcast clouds
319,Sergeyevka,KZ,53.88,67.42,63.77,86,100,7.49,light rain
320,Progreso,MX,21.28,-89.67,95.0,63,75,13.87,broken clouds
321,Roald,NO,62.58,6.13,57.0,76,75,17.22,broken clouds
